accession,uniprot_entry_name,gene_symbol,protein_name,ensembl_gene_id,primary_topology_class,simplified_topology_bucket,antibody_accessibility_tier,final_accessible_in_vivo,final_accessibility_bucket,final_accessibility_confidence,surfy_surfaceome_support,surfy_tm_domains,surfy_topology,surfy_uniprot_subcellular,surfy_uniprot_keywords,hpa_predicted_secreted_support,uhlen_secretome_support,supporting_evidence_sources,has_nonisoform_surface_annotation,has_nonisoform_secreted_annotation,has_isoform_specific_surface_annotation,has_isoform_specific_secreted_annotation,has_peripheral_membrane_annotation,surface_topology_values,nonisoform_surface_locations,nonisoform_secreted_locations,relevant_keywords,classification_evidence,classification_notes,explored_as_therapeutic,total_asset_count,active_program_asset_count,discontinued_asset_count,approved_asset_count,phase3_asset_count,phase2_asset_count,phase1_asset_count,unknown_asset_count
P50052,AGTR2_HUMAN,AGTR2,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-48;TM:49-70;CY:71-81;TM:82-102;NC:103-119;TM:120-140;CY:141-159;TM:160-181;NC:182-210;TM:211-234;CY:235-253;TM:254-275;NC:276-297;TM:298-321;CY:322-363,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Polymorphism;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] pmids=28379944|29967536|31899086|32669569 || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-48;TM:49-70;CY:71-81;TM:82-102;NC:103-119;TM:120-140;CY:141-159;TM:160-181;NC:182-210;TM:211-234;CY:235-253;TM:254-275;NC:276-297;TM:298-321;CY:322-363,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P02765,FETUA_HUMAN,AHSG,Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B],,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q9BRQ8,FSP1_HUMAN,AIFM2,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,0,,,,,0,0,UniProt,1,0,0,0,0,Single-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass membrane protein] pmids=11980907|12135761|26689472|31634900|40233740,,0,0,0,0,0,0,0,0,0
Q9NVV5,AIG1_HUMAN,AIG1,Androgen-induced gene 1 protein (AIG-1) (Fatty acid esters of hydroxy fatty acids hydrolase AIG1) (FAHFA hydrolase AIG1) (EC 3.1.-.-),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,0,,,,,0,0,UniProt,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] pmids=27018888,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q12904,AIMP1_HUMAN,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)],,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=10850427|14500886|19289464 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q9UKB5,AJAP1_HUMAN,AJAP1,Adherens junction-associated protein 1 (Membrane protein shrew-1),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,NC:1-279;TM:280-303;CY:304-411,"Apical cell membrane (Single-pass type III membrane protein);Basolateral cell membrane (Single-pass type III membrane protein);Cell junction, adherens junction",Cell adhesion;Cell junction;Cell membrane;Complete proteome;Membrane;Phosphoprotein;Polymorphism;Reference proteome;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Apical cell membrane|Basolateral cell membrane|Cell membrane|Lateral cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Basolateral cell membrane [Single-pass type I membrane protein] pmids=14595118|16707570; Apical cell membrane [Single-pass type I membrane protein] pmids=14595118|16707570; Lateral cell membrane [Single-pass type I membrane protein] pmids=14595118|16707570; Cell membrane [Single-pass type I membrane protein] pmids=14595118|16707570 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=NC:1-279;TM:280-303;CY:304-411,,0,0,0,0,0,0,0,0,0
O43687,AKA7A_HUMAN,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta (AKAP-7 isoforms alpha and beta) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoforms alpha/beta) (PRKA7 isoforms alpha/beta),,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,0,,,,,0,0,UniProt,0,0,1,0,0,,,,Cell membrane|Membrane,isoform_surface: Lateral cell membrane isoform=Isoform Alpha; Cell membrane isoform=Isoform Alpha; Apical cell membrane isoform=Isoform Beta,surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
O60218,AK1BA_HUMAN,AKR1B10,Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=21585341 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P02768,ALBU_HUMAN,ALB,Albumin,,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,1,13,8,3,1,2,6,2,2
Q13740,CD166_HUMAN,ALCAM,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-27;NC:28-527;TM:528-550;CY:551-583,Membrane (Single-pass type I membrane protein);Secreted,3D-structure;Alternative splicing;Cell adhesion;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Polymorphism;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix,1,0,UniProt|SURFY|HPA_secretome,1,0,0,1,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Secreted|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=15048703|15294938|16352806|23169771|24740813|24945728|7760007 || isoform_secreted: Secreted [Single-pass membrane protein] pmids=15496415 isoform=Isoform 3 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-27;NC:28-527;TM:528-550;CY:551-583 || external_secreted: HPA predicted secreted protein,secreted annotation is isoform-specific,1,1,1,0,0,0,1,0,0
P49419,AL7A1_HUMAN,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase),,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,0,,,,,0,0,UniProt,0,0,1,0,0,,,,Cell membrane|Membrane,isoform_surface: Cell membrane pmids=20207735|31492851|40233740 isoform=Isoform 2,surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
Q9UM73,ALK_HUMAN,ALK,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-20;NC:21-1034;TM:1035-1059;CY:1060-1620,Cell membrane (Single-pass type I membrane protein),3D-structure;ATP-binding;Cell membrane;Chromosomal rearrangement;Complete proteome;Disease mutation;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Polymorphism;Proto-oncogene;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=16317043|34819673|9174053 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-20;NC:21-1034;TM:1035-1059;CY:1060-1620,,0,0,0,0,0,0,0,0,0
Q6UXT8,ALKL1_HUMAN,ALKAL1,ALK and LTK ligand 1 (Augmentor beta) (AUG-beta),,mixed_secreted_and_surface,Secreted,needs_review,1,mixed_secreted_and_surface,medium,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,1,1,0,0,0,,Cell membrane,Secreted,Cell membrane|Membrane|Secreted,surface: Cell membrane pmids=34646012 || secreted: Secreted pmids=34646012 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q6UX46,ALKL2_HUMAN,ALKAL2,ALK and LTK ligand 2 (Augmentor alpha) (AUG-alpha),,mixed_secreted_and_surface,Secreted,needs_review,1,mixed_secreted_and_surface,medium,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,1,1,0,0,0,,Cell membrane,Secreted,Cell membrane|Membrane|Secreted,surface: Cell membrane pmids=30061385|34819673 || secreted: Secreted pmids=30061385|34819673 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P10696,PPBN_HUMAN,ALPG,"Alkaline phosphatase, germ cell type (EC 3.1.3.1) (ALP-1) (Alkaline phosphatase Nagao isozyme) (Alkaline phosphatase, placental-like) (Germ cell alkaline phosphatase) (GCAP) (Placental alkaline phosphatase-like) (PLAP-like)",,gpi_anchored_surface,GPI,high_confidence,1,gpi_anchored_surface,high,1,0,SP:1-19;NC:20-532,"Cell membrane (Lipid-anchor, GPI-anchor)",Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;GPI-anchor;Hydrolase;Lipoprotein;Magnesium;Membrane;Metal-binding;Phosphoprotein;Polymorphism;Reference proteome;Signal;Zinc,0,0,UniProt|SURFY,1,0,0,0,0,GPI-anchor,Cell membrane,,Cell membrane|GPI-anchor|Membrane,surface: Cell membrane [GPI-anchor] || external_surface: SURFY positive surfaceome member tm_domains=0 topology=SP:1-19;NC:20-532,,0,0,0,0,0,0,0,0,0
P09923,PPBI_HUMAN,ALPI,Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1),,gpi_anchored_surface,GPI,high_confidence,1,gpi_anchored_surface,high,1,0,SP:1-19;NC:20-528,"Cell membrane (Lipid-anchor, GPI-anchor)",Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;GPI-anchor;Hydrolase;Lipoprotein;Magnesium;Membrane;Metal-binding;Phosphoprotein;Polymorphism;Reference proteome;Signal;Transmembrane;Zinc,0,0,UniProt|SURFY,1,0,0,0,0,GPI-anchor,Cell membrane,,Cell membrane|GPI-anchor|Membrane,surface: Cell membrane [GPI-anchor] || external_surface: SURFY positive surfaceome member tm_domains=0 topology=SP:1-19;NC:20-528,,0,0,0,0,0,0,0,0,0
P05186,PPBT_HUMAN,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)",,gpi_anchored_surface,GPI,high_confidence,1,gpi_anchored_surface,high,1,0,SP:1-17;NC:18-524,"Cell membrane (Lipid-anchor, GPI-anchor)",Alternative splicing;Biomineralization;Cell membrane;Complete proteome;Direct protein sequencing;Disease mutation;Disulfide bond;Glycoprotein;GPI-anchor;Hydrolase;Lipoprotein;Magnesium;Membrane;Metal-binding;Phosphoprotein;Polymorphism;Reference proteome;Signal;Transmembrane;Zinc,0,0,UniProt|SURFY,1,0,0,0,0,GPI-anchor,Cell membrane,,Cell membrane|GPI-anchor|Membrane,surface: Cell membrane [GPI-anchor] pmids=2220817|23688511|25982064|33821301 || external_surface: SURFY positive surfaceome member tm_domains=0 topology=SP:1-17;NC:18-524,,0,0,0,0,0,0,0,0,0
P05187,PPB1_HUMAN,ALPP,"Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)",,gpi_anchored_surface,GPI,high_confidence,1,gpi_anchored_surface,high,1,0,SP:1-22;NC:23-535,"Cell membrane (Lipid-anchor, GPI-anchor)",3D-structure;Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;GPI-anchor;Hydrolase;Lipoprotein;Magnesium;Membrane;Metal-binding;Phosphoprotein;Polymorphism;Reference proteome;Signal;Transmembrane;Transmembrane helix;Zinc,0,0,UniProt|SURFY,1,0,0,0,0,GPI-anchor,Cell membrane,,Cell membrane|GPI-anchor|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [GPI-anchor] pmids=1730777|2153284 || external_surface: SURFY positive surfaceome member tm_domains=0 topology=SP:1-22;NC:23-535,,0,0,0,0,0,0,0,0,0
Q9NP70,AMBN_HUMAN,AMBN,Ameloblastin,,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P02760,AMBP_HUMAN,AMBP,Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin],,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,0,1,1,0,,,,Cell membrane|Membrane|Mitochondrion inner membrane|Secreted,isoform_surface: Cell membrane [Peripheral membrane protein] pmids=11877257|22096585|23157686|32092412|37453717 isoform=Alpha-1-microglobulin || isoform_secreted: Secreted [Peripheral membrane protein] pmids=11877257|22096585|23157686|32092412|37453717 isoform=Alpha-1-microglobulin; Secreted pmids=25326458|36213313 isoform=Inter-alpha-trypsin inhibitor light chain || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,secreted annotation is isoform-specific | surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
Q99217,AMELX_HUMAN,AMELX,"Amelogenin, X isoform",,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=25789606 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q99218,AMELY_HUMAN,AMELY,"Amelogenin, Y isoform",,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P03971,AMH_HUMAN,AMH,Anti-Muellerian hormone (AMH) (Muellerian-inhibiting factor) (Muellerian-inhibiting substance) (MIS),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=2974034|3754790 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q16671,AMHR2_HUMAN,AMHR2,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-16;NC:17-144;TM:145-170;CY:171-573,Membrane (Single-pass type I membrane protein),Alternative splicing;ATP-binding;Complete proteome;Disease mutation;Glycoprotein;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Polymorphism;Pseudohermaphroditism;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-16;NC:17-144;TM:145-170;CY:171-573,,1,1,1,0,0,0,1,0,0
Q86WK6,AMGO1_HUMAN,AMIGO1,Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-27;NC:28-372;TM:373-393;CY:394-493,"Cell membrane (Single-pass type I membrane protein);Cell projection, axon",Cell adhesion;Cell membrane;Cell projection;Complete proteome;Developmental protein;Differentiation;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Neurogenesis;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-27;NC:28-372;TM:373-393;CY:394-493,,0,0,0,0,0,0,0,0,0
Q86SJ2,AMGO2_HUMAN,AMIGO2,Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-21;NC:22-397;TM:398-419;CY:420-522,Cell membrane (Single-pass type I membrane protein);Nucleus,Cell adhesion;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Nucleus;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-21;NC:22-397;TM:398-419;CY:420-522,,0,0,0,0,0,0,0,0,0
Q86WK7,AMGO3_HUMAN,AMIGO3,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-19;NC:20-382;TM:383-403;CY:404-504,Membrane (Single-pass type I membrane protein),Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-19;NC:20-382;TM:383-403;CY:404-504,,0,0,0,0,0,0,0,0,0
Q9BXJ7,AMNLS_HUMAN,AMN,Protein amnionless [Cleaved into: Soluble protein amnionless],,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,1,1,SP:1-19;NC:20-358;TM:359-383;CY:384-453,Membrane (Single-pass type I membrane protein),Alternative promoter usage;Complete proteome;Developmental protein;Direct protein sequencing;Disease mutation;Glycoprotein;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix,1,0,UniProt|SURFY|HPA_secretome,0,0,1,1,0,,,,Cell membrane|Membrane|Secreted|Transmembrane|Transmembrane helix,isoform_surface: Apical cell membrane [Single-pass type I membrane protein] pmids=14576052|29402915|30523278 isoform=Isoform 1; Cell membrane [Single-pass type I membrane protein] pmids=14576052|29402915|30523278 isoform=Isoform 1 || isoform_secreted: Secreted [Single-pass membrane protein] pmids=14576052 isoform=Soluble protein amnionless || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-19;NC:20-358;TM:359-383;CY:384-453 || external_secreted: HPA predicted secreted protein,secreted annotation is isoform-specific | surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
Q6UX39,AMTN_HUMAN,AMTN,Amelotin,,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P0DUB6,AMY1A_HUMAN,AMY1A,"Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)",,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P0DTE7,AMY1B_HUMAN,AMY1B,Alpha-amylase 1B (EC 3.2.1.1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P0DTE8,AMY1C_HUMAN,AMY1C,Alpha-amylase 1C (EC 3.2.1.1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P04746,AMYP_HUMAN,AMY2A,"Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P19961,AMY2B_HUMAN,AMY2B,"Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)",,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P03950,ANGI_HUMAN,ANG,Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=12051708|15735021|23047679|23843625|25372031|27518564|29100074|29748193|3663649|7945327|8127865 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q15389,ANGP1_HUMAN,ANGPT1,Angiopoietin-1 (ANG-1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=8980223 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
O15123,ANGP2_HUMAN,ANGPT2,Angiopoietin-2 (ANG-2),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=32908006 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,1,5,2,3,1,0,2,2,0
Q9Y264,ANGP4_HUMAN,ANGPT4,Angiopoietin-4 (ANG-4) (Angiopoietin-3) (ANG-3),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
O95841,ANGL1_HUMAN,ANGPTL1,Angiopoietin-related protein 1 (Angiopoietin-3) (ANG-3) (Angiopoietin-like protein 1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=10025962 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q9UKU9,ANGL2_HUMAN,ANGPTL2,Angiopoietin-related protein 2 (Angiopoietin-like protein 2),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q9Y5C1,ANGL3_HUMAN,ANGPTL3,Angiopoietin-related protein 3 (Angiopoietin-5) (ANG-5) (Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224)],,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=11877390 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,1,1,1,0,1,0,0,0,0
